Features,Label
"I'm not sure. I haven't witnessed any as a nurse. Before I became a nurse, I was patient. And then, as a nurse, I had an adenomyosis. My doctor was not aware that I was a nurse.

My experience with a female doctor was a nightmare€”months and months of being tormented with pain around my menstrual cycle. I wasn't sure why she was this way. She was my OBGYN who didn't want to prescribe me contraception but would instead order narcotic medication I didn't like. I explained to her I could not have this medication based on my experience with its side effects.  I don't like being drowsy and would get stomach pain. I'm not too fond of the feeling of it. Anyway, she sent me for a vaginal ultrasound to find the source of my pelvic pain. It was normal.  She stopped here. I asked for the pill. She declined to renew it after 12-month of supply. I felt a lot better with this, so I stuck with it.

I found a male OBGYN. He diagnosed me with adenomyosis. It was a tiny part of my uterus that got affected. It hurt like hell. The doctor told me that if contraception didn't work, surgery would be the last choice if I wanted to get rid of the pain. My life has been great since I started taking pills regularly. I don't miss darn periods and certainly do not forget my pill. The pain was unbearable.",Yes
"This hospital system is huge. It has many, many hospital campuses throughout the state, none of which are actually affected by the storm, just the community around this specific one. They are not hurting for money. They asked for volunteers to go 3 hours away to help work nights at this hospital. Lodging at the hospital included...meaning a shared conference room or something. (Obviously the hotels are full, that isn't the issue.) But to not offer crisis pay or incentive pay or anything beyond base pay?!?

Maybe I'm just really selfish with my sleep (I have a hard time sleeping anywhere other than my bed, am effected my any noise or light, can't sleep with snoring, and will wake up easily and not get back to sleep. If I go, I won't sleep hardly and I can't work that many shifts in a row on no sleep and not kill myself or a patient. I was considering it anyways up to that point. May still if they are desperate).

But I feel like this is just another little thing that is just piling up and up on all the shit we deal with as nurses. They tug on our heart strings, knowing we will help out of the goodness of your heart, that we don't want to abandon patients, even risking our own safety, our patients safety, allowing hospitals to get away with short staffing us and tripling us and making us take on more and more roles outside what we are nurses should be doing (housekeeping, secretary, phlebotomy, patient tech) with less and less resources!?! All while paying us shit, never giving us raises to reflect what we do more and more or matching cost of living, never giving us incentive pay, and guilting us into picking up extra shifts or extra roles to make up the slack!

Maybe I'm just tired on very little sleep and going through post-vacation depression and hurting for everyone affected while happy my area was spared, and getting seriosuly burnt out after 4 years of this shit. Maybe I'm wrong to be mad about no extra pay, that this specific siuation is greater than that and my opinions about my hospital system and my lack of sleep lately are clouding my judgement. Just needed to get it off my chest and see what others feel like.",Yes
"Reminiscent of Covid, when nurses had no incentive to work with Covid patients or during the peak of Covid. Hospital leadership rarely give a shit to their foot soldiers. It's always about the money.",Yes
"I've worked in colorectal surgery for 10 years and have supported 5 surgeons to varying degrees over the years.  2 of them have been absolute delights and I could bet money on how they would manage their patients. 2 of them were a-holes, but again you'd be done with clinic by 3 pm and practiced reliably the same.  1 surgeon treated every patient uniquely, you could never anticipate what she would want, and she had a deep martyr complex.  Depending on the other interactions she had that day, you may get cookies or you may get the silent treatment or maybe you get yelled at in front of a patient.  I finally left the group for a non-surgical specialty and I have no clue what to expect bc my whole career I've been surrounded by surgeons.",Yes
Unfortunately I could not stay any longer. I understand your point. I did however stay over two hours to help code this patient and handle the coroner call and organ donation paperwork. There was also a call team that could have stayed but I also don't think they should have had to do that.,Yes
This is why I really believe all nurses should start at the bottom and work their way up. I was a CNA first and I really think this opened my eyes to how skin ulcers and hygiene are very important. We can do better. Our patients deserve better. I can't imagine being in a bed helpless. I can't.,No
"I don't have advice but solidarity. I don't have near the experience you do, but know that your time is invaluable. I agree, nurses coming out of school don't understand the time it takes to fully understand the patient population. They expect sick patients right out of the gate. There is no patience anymore. I left the NICU because I moved states, I've tried serval different specialties for one reason or another and I've always found myself wanting to go back. I've had the sickest of the sick and I don't need that adrenaline rush anymore. I'm simply happy to have the feeder growers because there is no unit in any hospital like the NICU",No
"If he was an organ donor then why was he even sent to the morgue? We keep ours, as we are supposed to, on the vent until they get into surgery to remove the organs otherwise you risk rapid cell death in those organs. Especially, too, if holding the patient for family. They should've been able to walk to the surgical suite doors with their loved one. I've never seen an organ donor not be on a vent as the drs usually don't remove them immediately after death. They are planned surgeries. Unless there is a rush for an organ, that is. Do they not do this anymore and, if not, why? Are the docs getting to the organ donors quickly after death? Hmmm. I can't see where cell death would not occur without oxygen circulating.",Yes
"I actually begged to be transferred to the pediatric side of the hospital because I'd had several hospital stays on that side and was never treated that way. Unfortunately my injuries and being so close to 18 made me an adult case, so I was just made to lay in my own bloody mess until that nurse came along. She actually made sure my linens got changed the same day by advocating for physical therapy to get me out of bed and it made me feel so much better in such a bad scenario. She was my first glimmer of hope in a dark time.",No
"I worked with this one psych nurse who's known for working 6 12s (night shift), like back to back, She's very pleasant. I was trying to get to know her, She then hit me out of nowhere with the first dark humor i've heard in this field, She said it better, but it went along the lines of, *I used to work in med-surg, but I honestly couldn't take it anymore. My patients deaths were just taking a huge toll on me. So I switched to psych. At least in this field it isn't us killing the patients*. Mind you, my jaw dropped and no she has never killed or harmed any patient in med-surg. She just meant with the code blues and stuff, and sometimes them not being successful with trying to resuscitate the patient,",Yes
"This is why most of the nurses I work with are DNR-DNI. There is nothing more awful than doing an awakening trial on my intubated patients and we cut off their sedation and expect them to be all chill while CPAPing on the vent. They look terrified. I'm so sorry for the trauma you went through. It's part of weaning from the vent and successful extubation, but truly awful when patients are awake, aware, and restrained. It's no wonder there is such a high incidence of ICU PTSD for patients. For any painful procedure, I don't want to feel it, hear it, smell it, or remember it.",Yes
"I've worked in healthcare for 15 years (CNA/tech partner/mental health tech) and MOST bodily fluids don't bother me, except for lung butter. Had a patient with a trach shoot lung butter on my forearm while coughing and I almost horfed right there. Mad props to folks that work in respiratory because I absolutely can not.",Yes
I'm not a nurse but nearly all of my friends are. Every single one of them have told me a med error story. It happens to everyone.  You did the right thing by reporting it and checking for allergies. This is going to stick in your mind the rest of your career and you'll be a better nurse because of it. From a chronically ill patient- thank you guys for everything you do!,No
"I'm so sorry... No excuse for that treatment, none. 
 I have a feeling you are an exceptional patient advocate and empathetic nurse. 
Please take care of yourself.",No
"We had a guy a few years ago that was a no code but not officially hospice/CMO. He deteriorated very quickly and we were trying to call his sister (for decision making on short notice as she adamantly refused opioid analgesia and he was suffering at this point and badly needed it) and for hours she didn't answer. The guy died and when she finally called back an hour later and then came, she went ABSOLUTELY BAT SHIT over the fact that his face had been clean shaven. For reference he had a nasty ratty beard with mats and food and one of the techs during the day cut it all off for hygienic reasons. The patient was very rude and quite unpleasant when he was alive. His sister was more upset over his damn face being shaved then him dying ffs",Yes
"Admitting a transfer patient with an irate borderline belligerent mother, granted it was 2AM but the icu was out of beds and this patient was the most stable to transfer out so they could take a trauma. The mom complaining this is bullshit the doctor himself won't even come see me I'm reporting everybody there's no reason I don't care that somebody else needed his room they should have figured it out. Me knowing the doctor is 4 rooms over trying to keep a patient alive long enough to save the organs to be donated and the family to say goodbye, knowing that's why the doctor refused to tell her himself and why they needed the bed.",Yes
"Anyone who says they never made a mistake, they r either lying or dumb! 
An example of critical thinking is when u go back and review an event, see what went wrong and what can be improved upon. Most of the time you'll find out it's a combination of human error System error etc. 
The healthcare system has had these issues forever. When I worked in the hospital in the 90's, I can think of 4 examples of significant major errors that have changed the way we do things today.
All is well, you're okay, the patient's okay, and move on LOL. The fact that you reported it means you're pretty outstanding!",No
"Male (former) ICU nurse with a large beard here. I think making assumptions about other people bodies, and what they want it to look like, is definitely a bad idea. Shaving largely a US/western practice. Many people see hair as a religious or cultural belief. Also, what families and other nurses like is irrelevant. What matters is the patient's preference. If you don't know what it is then I wouldn't impose my personal beliefs on them. Also, my wife would drop kick a nurse across the unit if someone shaved my beard. Ha",Yes
"Depends on the job. There are Psych positions with 0 physical demands. On the other end of the spectrum there is Ortho, but likely still not as high as paramedic. In the OR, you'll have to stand for several hours a day, help transfer patients, pull hard on retractors, etc. I'm in Ortho and I could probably do it until my goal retirement age of 62 considering there are surgeon operating into their 70s. However, I did have to start working out because of the demands of doing reductions and such.

However, given you already have a 6 figure desk job with good benefits, I couldn't recommend you go back to PA school. Sure you can make a bit more money, but you'll be spending at least 100K for school, and losing 300-500K in your current wages and benefits while in PA school. I don't think you could catch up financially, and even if you could I don't think it's worth the effort.",No
"No one knows everything about everything. If I have family in the room, I always bring my computer with me so I have access to the patient chart as well as up to date. If I look something up and I can't find it, I'll tell them let me get some more information about that and I'll let you know. Another of my favorite phrases is I don't want to give you incorrect info so let me double check and I'll get back to you. 

The most important things are to be honest and to remember to come back and tell them what you've found out.",No
"I was told if the family stands at the bedside praying enough and yelling at the staff this is the likely outcome. Coma--> procedure or 1 dose of ten RIGHT med--> sleep --> happy, healthy patient. But it all depends on the amount of yelling the family does on their advocacy work. ",Yes
"Also, there are formal medicolegal definitions of what comprises a patient-physician relationship, and telling your spouse to take an OTC NSAID, regardless of your licensure status, does not qualify. This is some juvenile tehehe I could get a speeding ticket because I flew on an airplane going 250mph going over a stretch of I95 where the limit is 70 nonsense.",Yes
"Someone I know is an ""herbalist"". She diagnosed ""acid wave"" in a patient who complained of vague abdominal cramping and early satiety. By the time this patient presented to the ED she had painless jaundice and extreme ascites. Hepatocellular carcinoma. 10L paracentesis removed.

How is this legal?",Yes
